Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Spencer Strider,26,0,Maj-NL,Atlanta,6,6,3.0,3.0,,32.2,20,14,13,15,45,3,1,3.58,116,6,0,0,1,2,7,0,0,134,540,0.63,0.16,0.16,0.33,0.29,0.07,1.071,0.243,12.4,3.0,675911
Ranger Su\xc3\xa1rez,29,0,Maj-NL,Philadelphia,6,6,3.0,2.0,,40.2,29,6,5,9,36,3,1,1.11,145,2,1,0,3,0,0,2,1,156,587,0.65,0.18,0.09,0.57,0.15,0.07,0.934,0.245,8.0,4.0,624133
Tomoyuki Sugano,35,4,Maj-AL,Baltimore,5,5,1.0,1.0,,25.0,34,14,13,7,18,4,2,4.68,106,5,0,1,3,1,0,0,0,116,437,0.63,0.16,0.06,0.4,0.29,0.06,1.64,0.353,6.5,2.57,608372
Brent Suter,35,0,Maj-NL,Cincinnati,7,1,,,,9.1,10,5,5,4,9,1,0,4.82,36,2,0,0,1,0,0,0,0,40,169,0.64,0.14,0.13,0.48,0.22,0.11,1.5,0.346,8.7,2.25,608718
Jameson Taillon,33,0,Maj-NL,Chicago,6,6,4.0,2.0,,34.0,31,19,19,7,26,7,0,5.03,128,4,1,0,2,1,1,1,0,137,504,0.65,0.18,0.11,0.29,0.26,0.11,1.118,0.25,6.9,3.71,592791
Grant Taylor,23,2,Maj-AL,Chicago,6,1,,,1.0,6.0,5,2,2,1,7,0,0,3.0,22,1,0,0,1,0,0,0,0,23,89,0.7,0.1,0.18,0.53,0.2,0.0,1.0,0.333,10.5,7.0,691799
Blade Tidwell,24,4,Maj-NL,New York,1,1,,,,3.2,4,2,2,3,4,0,0,4.91,14,0,0,0,1,0,1,0,0,17,74,0.58,0.19,0.11,0.4,0.3,0.0,1.909,0.4,9.8,1.33,694918
Lou Trivino,33,2,Maj-NL,Los Angeles,11,1,1.0,,,11.1,15,6,6,4,8,1,3,4.76,42,3,0,1,2,2,1,0,1,52,207,0.63,0.15,0.07,0.32,0.24,0.08,1.676,0.4,6.4,2.0,642152
Spencer Turnbull,32,4,Maj-AL,Toronto,3,1,1.0,1.0,,6.1,12,5,5,4,4,1,0,7.11,29,1,1,0,1,0,1,0,0,33,125,0.63,0.16,0.11,0.48,0.2,0.04,2.526,0.458,5.7,1.0,605513
Framber Valdez,31,0,Maj-AL,Houston,5,5,4.0,,,34.0,23,7,7,14,38,1,1,1.85,121,5,1,0,6,0,2,2,0,136,468,0.66,0.18,0.12,0.69,0.18,0.01,1.088,0.268,10.1,2.71,664285
Mike Vasil,25,0,Maj-AL,Chicago,6,3,,1.0,,23.0,21,10,9,7,20,3,4,3.52,88,7,0,0,2,0,1,0,0,99,361,0.63,0.19,0.09,0.47,0.31,0.01,1.217,0.277,7.8,2.86,678024
Randy V\xc3\xa1squez,26,2,Maj-NL,San Diego,6,6,,,,31.0,25,13,13,11,18,7,3,3.77,113,3,0,0,2,1,3,1,0,128,472,0.64,0.15,0.09,0.38,0.2,0.15,1.161,0.202,5.2,1.64,681190
Anthony Veneziano,27,10,Maj-NL,Miami,4,1,,,,4.1,7,2,2,2,5,0,0,4.15,19,1,0,0,0,0,1,0,0,22,101,0.67,0.17,0.11,0.6,0.4,0.0,2.077,0.5,10.4,2.5,685107
Justin Verlander,42,0,Maj-NL,San Francisco,2,2,,2.0,,9.2,12,7,6,2,11,1,0,5.59,41,4,0,0,0,0,0,1,0,43,169,0.68,0.15,0.12,0.2,0.4,0.07,1.448,0.379,10.2,5.5,434378
Michael Wacha,33,5,Maj-AL,Kansas City,4,4,1.0,2.0,,24.1,18,9,9,6,21,4,1,3.33,92,3,0,0,0,0,1,0,0,99,384,0.65,0.14,0.11,0.35,0.18,0.14,0.986,0.209,7.8,3.5,608379
Taijuan Walker,32,3,Maj-NL,Philadelphia,8,1,,2.0,,10.1,14,9,9,3,11,4,0,7.84,45,3,0,0,0,0,2,0,0,48,196,0.63,0.19,0.11,0.53,0.21,0.09,1.645,0.333,9.6,3.67,592836
Brandon Walter,28,3,Maj-AL,Houston,3,3,,1.0,,18.2,21,10,10,1,20,4,2,4.82,78,4,0,0,0,0,2,0,0,81,286,0.7,0.16,0.13,0.53,0.26,0.03,1.179,0.315,9.6,20.0,687888
Will Warren,26,2,Maj-AL,New York,5,5,1.0,2.0,,24.2,25,16,16,11,29,2,1,5.84,95,4,2,0,1,2,0,0,1,109,398,0.64,0.2,0.1,0.43,0.26,0.1,1.459,0.348,10.6,2.64,701542
Ryan Weathers,25,17,Maj-NL,Miami,3,3,,1.0,,14.2,11,10,7,7,14,2,1,4.3,56,3,0,0,0,0,4,0,0,65,250,0.61,0.16,0.12,0.47,0.07,0.07,1.227,0.225,8.6,2.0,677960
Logan Webb,28,5,Maj-NL,San Francisco,5,5,2.0,1.0,,34.0,28,8,8,4,40,3,1,2.12,126,6,1,0,2,1,2,1,0,133,501,0.67,0.2,0.12,0.49,0.25,0.08,0.941,0.298,10.6,10.0,657277
Zack Wheeler,35,4,Maj-NL,Philadelphia,4,4,1.0,1.0,,22.1,15,9,8,8,30,2,0,3.22,81,3,0,0,1,1,0,0,0,90,402,0.62,0.14,0.14,0.35,0.31,0.08,1.03,0.26,12.1,3.75,554430
Gavin Williams,25,5,Maj-AL,Cleveland,5,5,1.0,1.0,,27.1,18,11,9,16,21,3,2,2.96,98,3,0,0,2,1,1,1,0,117,497,0.6,0.16,0.1,0.54,0.17,0.06,1.244,0.2,6.9,1.31,668909
Trevor Williams,33,0,Maj-NL,Washington,6,6,1.0,4.0,,30.1,35,16,15,5,20,2,0,4.45,122,10,1,0,0,3,2,2,0,130,471,0.67,0.17,0.07,0.24,0.35,0.08,1.319,0.32,5.9,4.0,592866
Allan Winans,29,1,Maj-AL,New York,1,1,,1.0,,4.1,5,4,4,0,1,1,2,8.31,16,0,1,0,1,1,0,0,0,19,62,0.63,0.16,0.05,0.44,0.19,0.06,1.154,0.267,2.1,,642216
Bryan Woo,25,1,Maj-AL,Seattle,5,5,2.0,2.0,,31.2,24,14,14,7,27,8,1,3.98,118,3,0,0,1,0,0,0,0,127,439,0.66,0.15,0.12,0.42,0.18,0.12,0.979,0.193,7.7,3.86,693433
Simeon Woods Richardson,24,3,Maj-AL,Minnesota,3,3,,2.0,,15.2,13,11,9,7,11,0,0,5.17,60,2,0,0,0,2,2,0,0,69,246,0.62,0.16,0.08,0.39,0.31,0.12,1.277,0.255,6.3,1.57,680573
Justin Wrobleski,24,0,Maj-NL,Los Angeles,4,1,2.0,1.0,,20.1,19,9,8,5,20,2,0,3.54,77,5,0,0,1,2,2,0,0,85,330,0.67,0.15,0.1,0.47,0.25,0.05,1.18,0.298,8.9,4.0,680736
Yoshinobu Yamamoto,26,5,Maj-NL,Los Angeles,5,5,1.0,3.0,,26.2,27,14,14,12,27,4,1,4.73,102,5,0,0,2,1,0,1,0,117,480,0.63,0.18,0.09,0.45,0.23,0.03,1.463,0.319,9.1,2.25,808967
Ryan Yarbrough,33,6,Maj-AL,New York,5,5,2.0,1.0,,26.0,24,13,13,7,21,5,1,4.5,98,5,0,0,1,0,2,3,1,106,395,0.63,0.17,0.12,0.38,0.25,0.05,1.192,0.264,7.3,3.0,642232
